Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Sa_1s_g,Observed_DS,Obs_Repair_Category,RF_DS,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct
53 0291,34.23,-118.4116667,HWB3,1968,conventional,0.5513,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1763,34.21833333,-118.4083333,HWB5,1968,conventional,0.4698,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 2206,34.27,-118.4866667,HWB4,1976,seismic,1.224,complete,Needs Replacement,complete,Needs Replacement,Close bridge — replace,4,complete,Needs Replacement,Close bridge — replace,4,1,1
53 1672,34.19166667,-118.485,HWB3,1968,conventional,0.7136,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1676,34.21333333,-118.4066667,HWB5,1968,conventional,0.4698,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1677,34.19833333,-118.4033333,HWB5,1968,conventional,0.4519,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1686,34.17666667,-118.4766667,HWB3,1966,conventional,0.6637,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1685,34.175,-118.475,HWB5,1966,conventional,0.6134,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1580,34.035,-118.3683333,HWB5,1964,conventional,0.42,complete,Needs Replacement,complete,Needs Replacement,Close bridge — replace,4,complete,Needs Replacement,Close bridge — replace,4,1,1
53 1603,34.02666667,-118.45,HWB3,1965,conventional,0.4484,moderate,Needs Repair,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,0
53 1965,34.32833333,-118.505,HWB4,1971,conventional,1.172,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1964,34.33666667,-118.5083333,HWB2,1971,conventional,1.172,complete,Needs Replacement,complete,Needs Replacement,Close bridge — replace,4,complete,Needs Replacement,Close bridge — replace,4,1,1
53 1962,34.335,-118.5066667,HWB1,1971,conventional,1.172,extensive,Needs Closure,complete,Needs Replacement,Close bridge — replace,4,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1683,34.16833333,-118.4666667,HWB5,1966,conventional,0.6947,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1960,34.33333333,-118.5066667,HWB5,1971,conventional,1.172,complete,Needs Replacement,complete,Needs Replacement,Close bridge — replace,4,complete,Needs Replacement,Close bridge — replace,4,1,1
53 1684,34.16833333,-118.4683333,HWB3,1966,conventional,0.6947,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1675,34.22166667,-118.4083333,HWB3,1968,conventional,0.4698,none,Safe,complete,Needs Replacement,Close bridge — replace,4,none,Safe,No action needed,0,0,1
53 1488,34.41833333,-118.5466667,HWB5,1967,conventional,0.9037,none,Safe,extensive,Needs Closure,Close bridge — repair now,3,extensive,Needs Closure,Close bridge — repair now,3,0,0
53 0687,34.425,-118.5816667,HWB7,1964,conventional,1.014,extensive,Needs Closure,extensive,Needs Closure,Close bridge — repair now,3,extensive,Needs Closure,Close bridge — repair now,3,1,1
53 2329,34.26666667,-118.4416667,HWB2,1976,seismic,0.8551,extensive,Needs Closure,extensive,Needs Closure,Close bridge — repair now,3,extensive,Needs Closure,Close bridge — repair now,3,1,1
53 0805,34.37833333,-118.55,HWB7,1966,conventional,1.004,none,Safe,extensive,Needs Closure,Close bridge — repair now,3,none,Safe,No action needed,0,0,1
53 0469,34.415,-118.4783333,HWB1,1973,conventional,0.729,none,Safe,extensive,Needs Closure,Close bridge — repair now,3,none,Safe,No action needed,0,0,1
53 2057,34.395,-118.57,HWB28,1968,conventional,0.9672,moderate,Needs Repair,extensive,Needs Closure,Close bridge — repair now,3,moderate,Needs Repair,Plan repair — 6 months,2,0,1
53 1506,34.28,-118.385,HWB3,1963,conventional,0.5723,extensive,Needs Closure,extensive,Needs Closure,Close bridge — repair now,3,extensive,Needs Closure,Close bridge — repair now,3,1,1
53 1783,34.38,-118.565,HWB28,1967,conventional,0.9994,moderate,Needs Repair,extensive,Needs Closure,Close bridge — repair now,3,moderate,Needs Repair,Plan repair — 6 months,2,0,1
53 2180,34.405,-118.465,HWB5,1972,conventional,0.6245,none,Safe,extensive,Needs Closure,Close bridge — repair now,3,none,Safe,No action needed,0,0,1
53 2103,34.285,-118.4066667,HWB2,1975,seismic,0.6076,moderate,Needs Repair,extensive,Needs Closure,Close bridge — repair now,3,none,Safe,No action needed,0,0,0
53 2102,34.28833333,-118.405,HWB2,1975,seismic,0.6076,moderate,Needs Repair,extensive,Needs Closure,Close bridge — repair now,3,none,Safe,No action needed,0,0,0
53 2200,34.40166667,-118.4566667,HWB1,1972,conventional,0.5779,extensive,Needs Closure,extensive,Needs Closure,Close bridge — repair now,3,extensive,Needs Closure,Close bridge — repair now,3,1,1
