Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Num_Spans,Sa_1s_g,PGA_g,Observed_DS,Obs_DR,Obs_Repair_Category,Obs_Repair_Action,Obs_Priority,RF_DS,RF_DR,RF_P_None,RF_P_Slight,RF_P_Moderate,RF_P_Extensive,RF_P_Complete,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_DR,MLP_P_None,MLP_P_Slight,MLP_P_Moderate,MLP_P_Extensive,MLP_P_Complete,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct,Obs_Color,RF_Color,MLP_Color,Is_Damaged_Obs,Is_Damaged_RF,Is_Damaged_MLP
52 0036,34.4,-118.8266667,HWB6,1936,conventional,122,0.3974,0.3357,none,0.0,Safe,No action needed,0,none,0.0,0.951568964583458,0.026801236062494026,0.005623213985543789,0.01600658536850421,0.0,Safe,No action needed,0,none,0.0,0.9999999999894582,6.444810664266828e-15,1.053525422130666e-11,4.960440197722742e-34,1.745222431794054e-54,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0037,34.41,-118.7866667,HWB1,1940,conventional,107,0.3533,0.3416,none,0.0,Safe,No action needed,0,none,0.0,0.9397843818459595,0.038501779693795195,0.0006232139855437889,0.021090624474701627,0.0,Safe,No action needed,0,none,0.0,0.9999999999713276,2.3947611092897173e-12,2.6277594093186765e-11,3.5833620152099956e-36,3.855108701031671e-54,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0046,34.14333333,-118.8483333,HWB5,1968,conventional,213,0.2087,0.2515,none,0.0,Safe,No action needed,0,none,0.0,0.9220201564061031,0.02471313923483094,0.028781767349369797,0.0037871015827918215,0.020697835426904246,Safe,No action needed,0,none,0.0,0.9999999999535689,1.2364282300750624e-11,3.406664698876459e-11,1.2407759174443016e-30,7.2761727536199106e-34,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0055,34.28666667,-118.8583333,HWB5,1916,conventional,122,0.2624,0.3357,none,0.0,Safe,No action needed,0,none,0.0,0.9892334084583689,0.005689753725359073,0.005076837816271931,0.0,0.0,Safe,No action needed,0,none,0.0,1.0,1.4198552475318705e-19,4.794757330635463e-18,1.3448559411620855e-51,6.6779936265751026e-74,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0154,34.29333333,-118.8433333,HWB5,1999,seismic,98,0.2932,0.3475,none,0.0,Safe,No action needed,0,none,0.0,0.9488796562335601,0.0066437362378192946,0.031385445696928846,0.01142661528874041,0.001664546542951212,Safe,No action needed,0,none,0.0,0.9999999997861617,3.2446427999410965e-11,1.813917192265961e-10,1.1277880836496691e-39,2.4298979635124523e-41,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0237,34.17833333,-118.875,HWB7,1962,conventional,335,0.2929,0.2878,none,0.0,Safe,No action needed,0,none,0.0,0.9162495639291456,0.042979972665399185,0.032404590298292325,0.008365873107162851,0.0,Safe,No action needed,0,none,0.0,0.9999999999866549,7.393583784336762e-13,1.2605719305846672e-11,2.545201853414728e-30,2.689165189948012e-37,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0268,34.15666667,-118.8216667,HWB7,1964,conventional,317,0.2942,0.288,none,0.0,Safe,No action needed,0,none,0.0,0.9181426185244597,0.037319095571340555,0.03195856267397464,0.012579723230225121,0.0,Safe,No action needed,0,none,0.0,0.999999999911303,7.426549644080434e-13,8.795435474471134e-11,1.1200861987232092e-27,3.395970649241503e-33,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0273,34.16666667,-118.8366667,HWB5,1966,conventional,463,0.2929,0.2882,none,0.0,Safe,No action needed,0,none,0.0,0.9291448356807446,0.028454387774800378,0.01642214104444943,0.0018430944085281922,0.024135541091477485,Safe,No action needed,0,none,0.0,0.9999999999798854,1.6138703835379807e-11,3.975829034635271e-12,1.5882249917398574e-29,1.6567455753371196e-34,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0274,34.17166667,-118.845,HWB4,1966,conventional,536,0.2415,0.2702,none,0.0,Safe,No action needed,0,none,0.0,0.8704132978630058,0.05236767378526395,0.037884375442970734,0.007913542420534858,0.03142111048822458,Safe,No action needed,0,none,0.0,0.9999999999784472,2.057967347769041e-11,9.729640745483362e-13,2.3763064813681314e-32,1.848120047449913e-37,Safe,No action needed,0,1,1,green,green,green,0,0,0
52 0282,34.27833333,-118.6616667,HWB5,1968,conventional,149,0.5431,0.7918,none,0.0,Safe,No action needed,0,none,0.0,0.7652495871441283,0.06922639431880745,0.07941671492994784,0.03973700699197853,0.046370296615137745,Safe,No action needed,0,none,0.0,0.9999757632137376,1.2175938996874653e-05,1.2060847264322874e-05,1.3939671393018794e-15,1.1597909208629591e-17,Safe,No action needed,0,1,1,green,green,green,0,0,0
