Structure_ID,Latitude,Longitude,HWB_Class,Sa_1s_g,Year_Built,Design_Era,Model,Damage_State,Damage_Ratio,Repair_Category,Repair_Action,Repair_Priority,Is_Damaged,Color,Correct_vs_Obs
52 0036,34.4,-118.8266667,HWB6,0.397,1936,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0037,34.41,-118.7866667,HWB1,0.353,1940,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0046,34.14333333,-118.8483333,HWB5,0.209,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0055,34.28666667,-118.8583333,HWB5,0.262,1916,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0154,34.29333333,-118.8433333,HWB5,0.293,1999,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0237,34.17833333,-118.875,HWB7,0.293,1962,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0268,34.15666667,-118.8216667,HWB7,0.294,1964,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0273,34.16666667,-118.8366667,HWB5,0.293,1966,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0274,34.17166667,-118.845,HWB4,0.241,1966,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0282,34.27833333,-118.6616667,HWB5,0.543,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0283,34.26833333,-118.635,HWB5,0.506,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0299,34.28166667,-118.7083333,HWB8,0.805,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0300,34.28166667,-118.6766667,HWB8,0.664,1968,conventional,Observed,moderate,0.08,Needs Repair,Plan repair — 6 months,2,1,orange,1
52 0301,34.28166667,-118.6816667,HWB5,0.664,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0302,34.28166667,-118.69,HWB5,0.664,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0303,34.28166667,-118.6983333,HWB3,0.805,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0304,34.23666667,-118.84,HWB3,0.316,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0305,34.2,-118.855,HWB3,0.319,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0306,34.18166667,-118.86,HWB3,0.293,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0307,34.17833333,-118.86,HWB5,0.293,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0308,34.21166667,-118.8466667,HWB3,0.324,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0309,34.28166667,-118.7166667,HWB5,0.757,1969,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0310,34.19,-118.86,HWB3,0.293,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0311,34.22666667,-118.845,HWB5,0.323,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0312,34.24333333,-118.8366667,HWB5,0.29,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0313,34.22,-118.8483333,HWB3,0.324,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0314,34.175,-118.8566667,HWB3,0.241,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0315,34.17666667,-118.86,HWB3,0.293,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0316,34.17666667,-118.86,HWB3,0.293,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0317,34.17666667,-118.86,HWB1,0.293,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0318,34.205,-118.8483333,HWB5,0.319,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0319,34.26666667,-118.85,HWB5,0.3,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0320,34.28166667,-118.75,HWB3,0.636,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0321,34.28166667,-118.7266667,HWB5,0.701,1969,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0322,34.28166667,-118.73,HWB5,0.701,1969,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0323,34.28166667,-118.735,HWB5,0.701,1969,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0324,34.28166667,-118.6716667,HWB5,0.543,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0325,34.18333333,-118.89,HWB5,0.273,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0326,34.28166667,-118.76,HWB5,0.534,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0327,34.28166667,-118.7433333,HWB5,0.636,1969,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0329,34.28166667,-118.7783333,HWB5,0.383,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0330,34.28166667,-118.8633333,HWB6,0.304,1993,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0331,34.28666667,-118.865,HWB2,0.304,1993,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0332,34.29333333,-118.8416667,HWB6,0.293,1993,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0334,34.29166667,-118.8583333,HWB4,0.293,1993,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0339,34.14666667,-118.8416667,HWB5,0.209,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0341,34.27833333,-118.8716667,HWB3,0.304,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0343,34.28166667,-118.7,HWB5,0.805,1968,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0346,34.28166667,-118.77,HWB3,0.534,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0349,34.15333333,-118.8166667,HWB5,0.294,1973,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0354,34.28333333,-118.7883333,HWB6,0.383,1976,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0355,34.28666667,-118.795,HWB6,0.431,1976,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0368,34.26333333,-118.8466667,HWB7,0.3,1970,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0387,34.29,-118.7983333,HWB5,0.431,1974,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0401,34.16166667,-118.8283333,HWB5,0.293,1973,conventional,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0411,34.18,-118.8833333,HWB6,0.273,1982,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
52 0412,34.18,-118.885,HWB6,0.273,1982,seismic,Observed,none,0.0,Safe,No action needed,0,0,green,1
